Date;Close;Log_Weekly_Returns
2012-03-05; $137,57 ;0,00187717
2012-03-12; $140,30 ;0,019650109
2012-03-19; $139,65 ;-0,004643695
2012-03-26; $140,81 ;0,008272172
2012-04-02; $139,79 ;-0,007270167
2012-04-09; $137,14 ;-0,019138995
2012-04-16; $137,95 ;0,005888999
2012-04-23; $140,39 ;0,017532963
2012-04-30; $137,00 ;-0,024443338
2012-05-07; $135,61 ;-0,010197807
2012-05-14; $129,74 ;-0,044250671
2012-05-21; $132,10 ;0,018026764
2012-05-29; $128,16 ;-0,030279728
2012-06-04; $133,10 ;0,037821242
2012-06-11; $134,14 ;0,007783305
2012-06-18; $133,46 ;-0,005082223
2012-06-25; $136,11 ;0,019624839
2012-07-02; $135,49 ;-0,00452881
2012-07-09; $135,75 ;0,001917122
2012-07-16; $136,47 ;0,005289851
2012-07-23; $138,68 ;0,016028256
2012-07-30; $139,35 ;0,004848512
2012-08-06; $140,84 ;0,010642917
2012-08-13; $142,18 ;0,009469366
2012-08-20; $141,51 ;-0,004723475
2012-08-27; $141,16 ;-0,002476387
2012-09-04; $144,33 ;0,022208346
2012-09-10; $147,24 ;0,019961564
2012-09-17; $145,87 ;-0,009348094
2012-09-24; $143,97 ;-0,01311087
2012-10-01; $146,14 ;0,014960122
2012-10-08; $142,89 ;-0,022489963
2012-10-15; $143,39 ;0,003490298
2012-10-22; $141,35 ;-0,014326317
2012-10-31; $141,56 ;0,001484571
2012-11-05; $138,16 ;-0,024311222
2012-11-12; $136,37 ;-0,013040654
2012-11-19; $141,35 ;0,035867304
2012-11-26; $142,16 ;0,005678927
2012-12-03; $142,42 ;0,001827319
2012-12-10; $142,11 ;-0,002178406
2012-12-17; $142,79 ;0,004808095
2012-12-24; $140,03 ;-0,019518334
2012-12-31; $146,37 ;0,044280977
2013-01-07; $147,07 ;0,004771001
2013-01-14; $148,33 ;0,008530857
2013-01-22; $150,25 ;0,012861052
2013-01-28; $151,24 ;0,006567406
2013-02-04; $151,80 ;0,003695886
2013-02-11; $152,11 ;0,002040078
2013-02-19; $151,89 ;-0,001447369
2013-02-25; $152,11 ;0,001447369
2013-03-04; $155,44 ;0,021655862
2013-03-11; $155,83 ;0,002505864
2013-03-18; $155,60 ;-0,001477058
2013-03-25; $156,67 ;0,006853071
2013-04-01; $155,16 ;-0,00969773
2013-04-08; $158,80 ;0,023201596
2013-04-15; $155,48 ;-0,021128443
2013-04-22; $158,24 ;0,017595762
2013-04-29; $161,37 ;0,019574603
2013-05-06; $163,41 ;0,012574909
2013-05-13; $166,94 ;0,021372086
2013-05-20; $165,31 ;-0,009824066
2013-05-28; $163,45 ;-0,011333858
2013-06-03; $164,80 ;0,008256075
2013-06-10; $163,18 ;-0,009909373
2013-06-17; $159,07 ;-0,025478888
2013-06-24; $160,42 ;0,008451019
2013-07-01; $163,02 ;0,016077517
2013-07-08; $167,51 ;0,027170158
2013-07-15; $169,17 ;0,009861076
2013-07-22; $169,11 ;-0,000354736
2013-07-29; $170,95 ;0,010821725
2013-08-05; $169,31 ;-0,009639762
2013-08-12; $165,83 ;-0,020768187
2013-08-19; $166,62 ;0,004752603
2013-08-26; $163,65 ;-0,01798577
2013-09-03; $166,04 ;0,014498722
2013-09-09; $169,33 ;0,01962075
2013-09-16; $170,72 ;0,008175314
2013-09-23; $168,91 ;-0,010664679
2013-09-30; $168,89 ;-0,000112493
2013-10-07; $170,26 ;0,008079065
2013-10-14; $174,39 ;0,023956021
2013-10-21; $175,95 ;0,008917162
2013-10-28; $176,21 ;0,001476602
2013-11-04; $177,29 ;0,006110344
2013-11-11; $180,05 ;0,01544778
2013-11-18; $180,81 ;0,004212166
2013-11-25; $181,00 ;0,001050275
2013-12-02; $180,94 ;-0,000331547
2013-12-09; $178,11 ;-0,015764148
2013-12-16; $181,56 ;0,019184841
2013-12-23; $183,85 ;0,012506834
2013-12-30; $182,89 ;-0,005235471
2014-01-06; $184,14 ;0,006838798
2014-01-13; $183,64 ;-0,002746246
2014-01-21; $178,89 ;-0,026179
2014-01-27; $178,18 ;-0,003976817
2014-02-03; $179,68 ;0,008383216
2014-02-10; $184,02 ;0,023866956
2014-02-18; $183,89 ;-0,000706695
2014-02-24; $186,29 ;0,012966847
2014-03-03; $188,26 ;0,010519387
2014-03-10; $184,66 ;-0,01930769
2014-03-17; $186,20 ;0,008305068
2014-03-24; $185,49 ;-0,003820393
2014-03-31; $186,40 ;0,00489393
2014-04-07; $181,51 ;-0,026584154
2014-04-14; $186,39 ;0,026530504
2014-04-21; $186,29 ;-0,000536653
2014-04-28; $188,06 ;0,009456462
2014-05-05; $187,96 ;-0,000531887
2014-05-12; $188,05 ;0,000478711
2014-05-19; $190,35 ;0,012156598
2014-05-27; $192,68 ;0,012166299
2014-06-02; $195,38 ;0,013890007
2014-06-09; $194,13 ;-0,006392751
2014-06-16; $195,94 ;0,009280452
2014-06-23; $195,82 ;-0,00061262
2014-06-30; $198,20 ;0,012080752
2014-07-07; $196,61 ;-0,008054551
2014-07-14; $197,71 ;0,005578734
2014-07-21; $197,72 ;5,10836E-05
2014-07-28; $192,50 ;-0,026755735
2014-08-04; $193,24 ;0,003836786
2014-08-11; $195,72 ;0,012752127
2014-08-18; $199,19 ;0,017574077
2014-08-25; $200,71 ;0,007601937
2014-09-02; $201,11 ;0,001990942
2014-09-08; $199,13 ;-0,009894144
2014-09-15; $200,70 ;0,007853378
2014-09-22; $197,90 ;-0,014049403
2014-09-29; $196,52 ;-0,006997645
2014-10-06; $190,54 ;-0,030902061
2014-10-13; $188,47 ;-0,010923303
2014-10-20; $196,43 ;0,041367291
2014-10-27; $201,66 ;0,026276977
2014-11-03; $203,34 ;0,008296344
2014-11-10; $204,24 ;0,004416318
2014-11-17; $206,68 ;0,01187593
2014-11-24; $207,20 ;0,002512807
2014-12-01; $208,00 ;0,003853569
2014-12-08; $200,89 ;-0,034780585
2014-12-15; $206,52 ;0,027639765
2014-12-22; $208,44 ;0,00925397
2014-12-29; $205,43 ;-0,014545887
2015-01-05; $204,25 ;-0,00576061
2015-01-12; $201,63 ;-0,012910399
2015-01-20; $204,97 ;0,016429292
2015-01-26; $199,45 ;-0,027300049
2015-02-02; $205,55 ;0,030125735
2015-02-09; $209,78 ;0,020370049
2015-02-17; $211,24 ;0,006930831
2015-02-23; $210,66 ;-0,002744734
2015-03-02; $207,50 ;-0,01511412
2015-03-09; $205,83 ;-0,008094358
2015-03-16; $210,41 ;0,022021026
2015-03-23; $205,74 ;-0,022444773
2015-03-30; $206,44 ;0,003372357
2015-04-06; $210,04 ;0,017312396
2015-04-13; $207,95 ;-0,010000323
2015-04-20; $211,65 ;0,017635828
2015-04-27; $210,72 ;-0,004403256
2015-05-04; $211,62 ;0,004261975
2015-05-11; $212,44 ;0,003867382
2015-05-18; $212,99 ;0,002585621
2015-05-26; $211,14 ;-0,008723796
2015-06-01; $209,77 ;-0,006509728
2015-06-08; $210,01 ;0,001143456
2015-06-15; $210,81 ;0,003802105
2015-06-22; $209,82 ;-0,004707234
2015-06-29; $207,31 ;-0,012034763
2015-07-06; $207,48 ;0,000819692
2015-07-13; $212,48 ;0,023812917
