N_LONG,N_SHORT,Score,ExpExcess,ExpNominal,Beta,VolMonthly,SharpeAnn,CashAbs
115,69,1.077022794844178,0.012648849806686987,0.016068783248820585,1.0911410663894117e-15,0.011729195568185847,3.735712376032657,0.0
135,72,1.0770063980857976,0.012141423631952482,0.015561357074086082,-2.8666305440516737e-16,0.011259037433659908,3.735588007530621,0.0
122,52,1.0770045320792347,0.013110966724871729,0.016530900167005327,4.189357194483989e-16,0.01215402312311957,3.7368466842268235,0.0
116,58,1.077002415103748,0.013037107079185251,0.016457040521318852,6.591949208711867e-17,0.012086855233093718,3.736444494352562,0.0
128,88,1.0769911020661822,0.011584102681646832,0.015004036123780432,-2.896988204881268e-16,0.010744168370514715,3.7349106441350353,0.0
161,51,1.0769889993172266,0.012449744403300135,0.015869677845433736,1.0408340855860843e-16,0.011543127615334001,3.736178021477789,0.0
153,68,1.0769690164811063,0.011947262509719649,0.01536719595185325,-3.3685795650341884e-16,0.01107996817315778,3.735257241682081,0.0
117,72,1.0769668797976786,0.012438380584186476,0.015858314026320076,-2.758548914588893e-16,0.011534531200105256,3.7355496746140204,0.0
120,52,1.076961999264193,0.013140644126889481,0.016560577569023082,-1.0408340855860843e-16,0.01218200816522413,3.736701365367275,0.0
143,68,1.076944229865482,0.012145594864578413,0.015565528306712014,5.2909066017292616e-17,0.011263318166052637,3.7354511492007405,0.0
98,84,1.0769301171873937,0.012493355781156366,0.015913289223289967,1.8479141827842938e-15,0.011585113288404114,3.7356780950353645,0.0
129,69,1.076914071101814,0.012410519173553153,0.015830452615686753,-3.0270924655795284e-16,0.011509287041489142,3.735357312649061,0.0
149,58,1.076913367802186,0.012433095816522194,0.015853029258655792,6.375108774214766e-17,0.01152878767164427,3.735822753081746,0.0
159,51,1.0769041453053754,0.012525570336759856,0.015945503778893456,7.251144129583054e-16,0.011614142767463883,3.735949290691057,0.0
115,68,1.0769006688633278,0.012681062561211296,0.016100996003344897,1.4566256187342752e-15,0.011760120278437971,3.735377552260012,0.0
164,54,1.0768987672686632,0.012351892142096574,0.015771825584230174,2.246466901389965e-16,0.011452454321025016,3.736160679627531,0.0
134,52,1.0768961468131275,0.012936199987314566,0.016356133429448166,4.49293380277993e-16,0.011993933088352464,3.7362482298087416,0.0
144,51,1.0768952506986285,0.01277964671259119,0.01619958015472479,3.5908775952719907e-16,0.011849311683907163,3.7360815546865207,0.0
134,70,1.0768906607168467,0.012283586879839041,0.01570352032197264,9.8879238130678e-17,0.011392208042314292,3.7351488835250524,0.0
158,54,1.0768887521359485,0.012508862535117043,0.015928795977250644,2.740863092043355e-16,0.011597887244363116,3.7361952223234103,0.0
89,78,1.0768719943011973,0.013177573144974674,0.016597506587108273,4.640385298237959e-16,0.012217740770284613,3.7362433262724464,0.0
133,52,1.0768674713595292,0.012935119555503131,0.016355052997636732,-1.4720093431481567e-16,0.011993423315397458,3.7360949718744596,0.0
113,94,1.076863170809221,0.011730855416436224,0.015150788858569825,-4.486428589745017e-16,0.010881549414054009,3.734475087025736,0.0
163,87,1.0768616106312179,0.010927771999404225,0.014347705441537826,4.163336342344337e-17,0.010137163614181032,3.7342706573303692,0.0
