Symbol,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_annual,R2,N_obs
COF,-0.0021267212659809138,1.265888111522354,0.4566945442641731,1.4707637809383693,-0.32047846686323755,-1.1966566033448687,-0.02522424702802417,0.732376216481922,59
COO,-0.012870935511675861,0.9846139287648805,0.06716352874421087,-0.10910483243344941,0.15108612613643108,0.2902631715107289,-0.1439733790305654,0.4545934625877237,59
COP,-0.00037088066566555737,1.3008614940303518,-0.4101261679480991,1.5848305336997124,-0.8464416501480795,0.1085279155311079,-0.0044415007391492844,0.5836146403458994,59
COR,0.010801433757889209,0.598809397779149,-0.2584137896939226,-0.11199970289064094,-0.17236798093354813,0.9424584838148947,0.13760159215072054,0.3255679857529523,59
COST,0.0077144015949772065,0.7940434124946885,-0.07291952537036754,-0.43245056386416253,0.2873689406140842,0.005730142717105553,0.09660338744413832,0.518550491091434,59
CPAY,-0.011299310996897113,1.2428269360576303,-0.18436576065419316,0.9800343021897469,-0.5375785586901707,-0.4781012119442326,-0.12747467402173696,0.5901035009467859,59
CPB,-0.007975270200998542,0.23080389005029228,0.2731082311415886,-0.22636723219946325,0.46407070525084004,1.1326893093946266,-0.09161493810712373,0.38064224922196843,59
CPRT,-0.0033453477802202914,1.2538313519015793,-0.4299175274879188,0.2323713915628297,0.2586118158310655,-0.917929288360656,-0.03941371905142477,0.68587229510238,59
CPT,-0.010566789172702585,0.8417005424487093,0.40268702573774595,0.2209674165797589,0.44054326074686434,-0.27145582336111096,-0.11968560601239564,0.5600659363091138,59
CRL,-0.010014872776881631,1.160190190446779,0.6137563421436243,0.23995243134102642,-0.09278360578474673,-0.9184082445560411,-0.11377490907437748,0.5611966090529439,59
CRWD,0.03064765602929002,1.3923840327674895,-1.3727620194991577,-0.455172916971624,-2.7979020631755107,-0.90158168522406,0.4365562592027994,0.5217655950579783,59
CSCO,-0.00751655348173124,0.7583108045196523,0.41888742585705646,-0.5170685907061758,0.6652394936731424,0.5359683239217932,-0.08656160290725567,0.4184073345117031,59
CSGP,-0.00792971474785338,0.8496422275844264,0.08599406779407336,-0.11491531397830632,-0.2745900565417729,0.2187453706552694,-0.09111423672002394,0.348558524062738,59
CSX,-0.011150130498341798,1.1255826748913835,0.178340496809289,0.102789237468097,0.3125978100651005,-0.06327752995603401,-0.1258935463309402,0.7110689402666672,59
CTAS,-0.001250716194180479,1.2654839175321195,0.07883458373211377,0.36749617892097436,0.4107469888575937,-0.481327892309132,-0.014905780341923247,0.65005150367767,59
CTRA,0.012666433340055495,0.47734590388330406,-0.5160651841257002,0.22826760726275258,-1.0800148813100752,1.2113544587634832,0.1630462274141542,0.19398135865932653,59
CTSH,-0.007784419256192992,0.9782500153586622,0.12494862505776848,0.16070087575772465,0.042110258039898034,-0.15875284718786664,-0.08951559882498428,0.4859123782956456,59
CTVA,0.003069172406759441,0.7484378922761592,0.38100523571288925,0.2886225693491566,-0.15837403906724704,0.4857245849457774,0.03745818152258984,0.509371188821947,59
CVS,-0.01360910925491943,0.5772751774505124,0.5749860983648108,0.013187856713094333,0.07985045421721465,0.9320778640543165,-0.15162349016592902,0.3351478434890224,59
CVX,-0.0056426396668305245,1.0861178769488584,0.06117972067680819,0.693241464559114,-0.05693221054268775,0.6722717026968227,-0.06564930425491777,0.6403878488712667,59
D,-0.012094496012331058,0.6524166870270548,-0.17924535298639582,0.19188698691000275,-0.2862534747610452,0.40416932296649105,-0.13585850354981743,0.2937594454435992,59
DAL,-0.010783656728792635,1.3198201523556004,-0.013704621130522412,1.3457895224015974,-0.6748210182925997,-0.5049920802024324,-0.12199822278724526,0.5005836235679726,59
DASH,,,,,,,,,59
DAY,-0.010446727469405365,1.1530054024737832,0.45290628603589167,0.18046660142639312,-0.496106085943562,-0.9700064209641596,-0.11840290058945968,0.5090686858184941,59
