Symbol,Our_Beta,Yahoo_Beta
PNC,1.1564324346927457,1.109
PNR,1.1980778483247758,1.104
PNW,0.5828405588289785,0.46
PODD,1.1552395645705729,1.399
POOL,0.9906648326602456,1.104
PPG,1.210728295612835,1.149
PPL,0.881721028518963,0.665
PRU,1.2836171957211489,1.021
PSA,0.7297569146622813,0.876
PSKY,1.847978879020703,1.273
PSX,1.293038639356424,1.094
PTC,1.1495937371260831,1.145
PWR,1.0299417742356167,1.038
PYPL,1.4214609006564576,1.446
QCOM,1.2229525136217425,1.227
RCL,2.728370463164229,2.088
REG,1.2396446559072212,1.101
REGN,0.1119515317707378,0.307
RF,1.2651405211780895,1.029
RJF,1.0516613722635384,1.049
RL,1.5072969275163843,1.626
RMD,0.7036261784070961,0.833
ROK,1.286710254880793,1.404
ROL,0.716645624869943,0.69
ROP,1.0211184038469967,1.001
ROST,1.078389497914968,1.183
RSG,0.7471830186803871,0.601
RTX,0.8273648047887747,0.648
RVTY,1.0255188482299635,0.985
SBAC,0.6747937716938934,0.812
SBUX,0.95610049268156,0.998
SCHW,0.954463453960524,0.966
SHW,1.1866880062998162,1.203
SJM,0.2458454144173042,0.241
SLB,1.6293539818460925,0.975
SMCI,1.2451482046296405,1.548
SNA,0.9698437088055816,0.774
SNPS,1.0809821712333556,1.097
SO,0.5096887519601655,0.413
SPG,1.92631896933508,1.531
SPGI,1.1527480846671148,1.189
SRE,0.8071024792179473,0.661
STE,0.8412690466979681,1.01
STLD,1.3527498169010208,1.411
STT,1.4461573667744114,1.48
STX,1.0819361884452896,1.649
STZ,0.8856180114886208,0.66
SW,1.020677248296796,1.045
SWK,1.274654127880779,1.188
SWKS,1.120337118746675,1.195
SYF,1.7012205656461483,1.5
SYK,0.9412028636577154,0.951
SYY,1.2067826452621473,0.836
T,0.5874191596781889,0.624
TAP,0.868571036302508,0.632
TDG,1.4583171914863369,1.002
TDY,0.9845214661921964,1.117
TECH,1.2421821026031723,1.479
TEL,1.29938726853854,1.254
TER,1.4258086933172347,1.82
TFC,1.067884292135327,0.855
TGT,1.084319170343929,1.177
TJX,0.8766304912041196,0.921
TKO,1.0493599940217302,0.266
TMO,0.7474076560514793,0.775
TMUS,0.5305216337943532,0.583
TPL,1.6952434854867162,1.132
TPR,1.7013680668375657,1.585
TRGP,2.6794555916061085,1.129
TRMB,1.508741205062448,1.657
TROW,1.476908788672444,1.514
TRV,0.6684924273918118,0.519
TSCO,0.795857280011068,0.724
TSLA,2.088956779347116,2.086
TSN,0.7984125309008747,0.56
TT,1.0817136373916316,1.119
TTD,1.3885107397519625,1.383
TTWO,0.8586998364512308,1.017
TXN,0.9473672880418496,1.002
TXT,1.311858413171823,1.131
TYL,0.7525798248312595,0.891
UAL,1.5374069628895952,1.457
UBER,1.2848982872775805,1.479
UDR,0.8903789286352234,0.855
UHS,1.2740155762011147,1.305
ULTA,1.2777353007887555,1.074
UNH,0.592869722979746,0.478
UNP,1.0298364669872793,1.068
UPS,0.9488026673722684,1.078
URI,1.581283798729014,1.727
USB,1.0904470124270926,1.076
V,0.9237858024918968,0.897
VICI,1.035912169481387,0.74
VLO,1.350053011652645,1.026
VMC,0.8218214082314348,0.923
VRSK,0.8647198930377894,0.856
VRSN,0.8795981658534673,0.789
VRTX,0.3817657117035296,0.431
VST,1.170187504010128,1.34
VTR,1.5562009369804135,0.909
VTRS,0.937358766904242,0.889
VZ,0.4551488205332132,0.366
WAB,1.253364757569145,1.097
WAT,0.9936353948488612,1.044
WBD,1.5039787595108278,1.737
WDAY,1.315954362515911,1.104
WDC,1.4580276052129555,1.834
WEC,0.4623299921866339,0.454
WELL,1.276674091328476,0.911
WFC,1.1610412537831964,1.24
WM,0.7846678780611009,0.642
WMB,1.0876387681685291,0.665
WMT,0.504188622656903,0.671
WRB,0.6864681276661678,0.417
WSM,1.6931285313143274,1.548
WST,0.9977481453450888,1.068
WTW,0.7353632921801838,0.736
WY,1.4901484560702758,1.063
WYNN,1.749646369336716,1.305
XEL,0.4456416942764206,0.378
XOM,0.8721305230667,0.484
XYL,1.0283788381789665,1.128
XYZ,2.4935334903867616,2.715
YUM,1.0865510858980238,0.721
ZBH,1.0268569788873274,0.667
ZBRA,1.5752592014551348,
ZTS,0.8829489211011724,0.902
