Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
CDW,0.9913382740373659,-0.004247449774004019,-0.04979540057051424,0.6640097612657014,0.4409089630561338,59
CF,0.9784758832991591,0.0048050426849802624,0.059209021857559385,0.4865115608038605,0.23669349879580845,59
CFG,1.401669669061163,-0.006794620413425061,-0.07855639910784373,0.5892710059113322,0.3472403184077533,59
CHD,0.5664946571209366,0.0001716796293951793,0.0020621019434663435,0.4895176862710955,0.23962756517220668,59
CHRW,0.8242696802413976,-0.00073100699632094,-0.00873690125197868,0.5853181572291632,0.34259734518214346,59
CHTR,1.1261302313908519,-0.01819002559840935,-0.19771388054006733,0.558428560757623,0.3118424574698303,59
CI,0.48874867260818433,0.001203283403333603,0.014535345971424585,0.3216550372057203,0.10346196295981332,59
CINF,0.7359635267823148,-0.0005394734380811143,-0.006454507670956344,0.4536980426373829,0.2058419138929925,59
CL,0.4313251352422283,-2.3737188164572702e-05,-0.0002848090729470343,0.4877068708258087,0.23785799185070206,59
CLX,0.39257181002244157,-0.002267275720486998,-0.026870584130339825,0.2964661619390953,0.08789218517489789,59
CMCSA,1.033491733209743,-0.010721668522388116,-0.12133776644590166,0.6996178144967488,0.48946508636120717,59
CME,0.5822490849767985,-0.00269953358568905,-0.03191773108528495,0.528585315421113,0.2794024356788375,59
CMG,1.2163988409907815,0.009184485938019122,0.11595526763813946,0.6829399962723036,0.4664070385084141,59
CMI,0.9323786798837973,0.005768105284264512,0.07145592538193402,0.6689605824554923,0.4475082608791915,59
CMS,0.41708844740683065,-0.0033664509420328957,-0.039657764032458576,0.4138695201342068,0.17128797969611861,59
CNC,0.4495866207936369,-0.006312604167576263,-0.07317578092260779,0.3066091343858618,0.09400916128884745,59
CNP,0.985047706973777,-0.0046482131855458304,-0.05437443472664116,0.6607935685729208,0.4366481402673354,59
COF,1.510848108800689,-0.0029721753335965814,-0.03508880927774061,0.6724150288611858,0.45214197103838927,59
COO,1.0046438273450862,-0.009220047691261469,-0.10519886861852623,0.6808345334963476,0.46353566200118923,59
COP,1.2314906604204674,-0.0002460864267014966,-0.0029490435342420795,0.5198990248198625,0.270294996008644,59
COR,0.46743069643324525,0.013249227738185399,0.17110376425884088,0.41801249663055434,0.1747344473393092,59
COST,0.8011480210224264,0.011483571371598108,0.14684836470907303,0.6509708378133109,0.42376303168336393,59
CPAY,1.2770368288567215,-0.011234857658116312,-0.12679187075507659,0.6746982748854221,0.4552177621333646,59
CPB,0.1812544987296233,-0.003311579048202701,-0.03902308633460094,0.18948591925967123,0.03590491359768264,59
CPRT,1.3098590791091738,0.0011337047189228927,0.01368960691775456,0.7810936919935262,0.6101073556720775,59
CPT,0.9968594168541329,-0.006944200648623948,-0.0802202923199914,0.7139366495467523,0.5097055395660421,59
CRL,1.364482672174112,-0.010141957476366417,-0.11513912551481131,0.667278298137903,0.4452603271658161,59
CRM,1.2479235757091267,-0.0018475406998013835,-0.021946585218834858,0.6330772318641931,0.40078678150482927,59
CRWD,1.0503826800951497,0.018609902465315083,0.24765561801874458,0.37212818881999526,0.13847938891445005,59
CSCO,0.8162156338270583,-0.0017574167480206414,-0.020886348485629425,0.6027888802966416,0.3633544342092789,59
CSGP,0.816741803938039,-0.007130761688964054,-0.08229169093964162,0.557178027080369,0.31044735386117245,59
CSX,1.2033187228817075,-0.006716552204504741,-0.07768689244060523,0.8339494228791409,0.6954716399204521,59
CTAS,1.3781810412944215,0.003876803165476221,0.047526522979768115,0.7838716219625793,0.6144547197182448,59
CTRA,0.20164742211287284,0.010589233449707233,0.13473906107385347,0.10617073602131916,0.011272225187308638,59
CTSH,1.0449908290839083,-0.005459616736757758,-0.06358347762924821,0.6893170897344559,0.47515805019998,59
CTVA,0.7734275723059906,0.004190214185039605,0.05145773060636949,0.5624922439207476,0.3163975244709978,59
CVS,0.5939865991361872,-0.011303499482773007,-0.12751902889954825,0.39032409529146206,0.15235289936509835,59
CVX,1.0579250729953313,-0.0017757453415148741,-0.021102055139692655,0.609155689813041,0.37107065443160187,59
