Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
CAH,0.6136391363106407,0.009573384699748652,0.12112674599311157,0.44580534805316047,0.19874240835279955,59
CARR,1.0040578836637555,0.014925697291684503,0.194568296679281,0.6800679147335855,0.46249236865008736,57
CAT,1.0746462522694653,0.008288787536059895,0.10412756618887298,0.6445008685611955,0.41538136957613536,59
CB,0.700168482343539,0.003847664937116975,0.04716171891612153,0.5260274880433166,0.27670491817716153,59
CBOE,0.6663031600555497,0.001607457349924477,0.019460943954002552,0.5600845303909676,0.3136946811832707,59
CBRE,1.4155059222434199,-0.0005873519550707341,-0.0070254991466595085,0.7273229888089169,0.5289987300499358,59
CCI,0.879467880312011,-0.014372282279938742,-0.15946674983921094,0.5875505150904009,0.3452156077829954,59
CCL,2.802590812038597,-0.03411811271232164,-0.3406921231256107,0.6951443327718045,0.4832256433847573,59
CDNS,0.9819751852512029,0.014153256601791288,0.1837038903526964,0.6405768064975252,0.4103386450225679,59
CDW,0.991337997318968,-0.0042474517655842516,-0.04979542337628473,0.6640098002575604,0.44090901483808526,59
CF,0.9784757929457153,0.004805040029193417,0.05920898826258636,0.4865115334352922,0.23669347216555942,59
CFG,1.4016692387792244,-0.006794621413612432,-0.07855641024289728,0.5892709297736061,0.34724022867625015,59
CHD,0.5664947383756777,0.00017168269575242381,0.0020621388093042814,0.4895180140929343,0.2396278861214902,59
CHRW,0.8242700837173876,-0.0007310105349289516,-0.008736943375069361,0.5853182144659933,0.34259741218565853,59
CHTR,1.1261302313908519,-0.01819002559840935,-0.19771388054006733,0.558428560757623,0.3118424574698303,59
CI,0.48874875219256636,0.0012032827552617828,0.014535338091005823,0.32165516540096334,0.10346204542912109,59
CINF,0.735963821779443,-0.0005394729741753984,-0.006454502137034024,0.4536982408326502,0.20584209373464146,59
CL,0.43132516706641827,-2.3737447315442736e-05,-0.00028481218194487123,0.4877070463741333,0.23785816308298102,59
CLX,0.39257212858095897,-0.0022672763665133365,-0.026870591691489865,0.2964664631267559,0.08789236375888812,59
CMCSA,1.033491252036844,-0.010721666364030083,-0.12133774344164494,0.6996177195852915,0.48946495355772357,59
