Ticker,Beta,Alpha,R²,Adj_R²,Std_Error,t_Statistic,p_value,F_Statistic,F_pvalue,N_Observations
MLM,0.8911689781579181,0.004102732554460988,0.24298282148195044,0.2409854146784729,0.08079891654305368,11.029466932060393,1.01531556465255e-24,121.64914080541371,1.0153155646527147e-24,381
MMC,0.8323545047304665,0.002042482392541325,0.2931883022187352,0.29153687301831155,0.06246906341778908,13.32426739238482,3.990132054558575e-34,177.53610154376938,3.99013205455835e-34,430
MMM,0.7622693480705671,0.0017634112171377656,0.29831100346749057,0.29667154319521827,0.05650986485070148,13.489137694533076,8.341501221162788e-35,181.95683574207317,8.341501221162399e-35,430
MNST,0.7887313212077293,0.021750546211394578,0.05145418996675615,0.04923796143864112,0.16369144597675298,4.818402797417666,2.0126787171132652e-06,23.217005518162384,2.0126787171132225e-06,430
MO,0.6044695893620121,0.01068563982645405,0.04509960465913834,0.04286852896908966,0.13444518131444494,4.496030154835064,8.926136142466855e-06,20.214287153186206,8.926136142466874e-06,430
MOH,0.8592690799122497,0.006346771695574592,0.1077401190993712,0.10438575864485755,0.1516161007863702,5.667399936125354,3.764726646950703e-08,32.119422035993665,3.764726646950637e-08,268
MOS,1.0843348867130143,-0.0012479949857661472,0.15712826163156346,0.15515893514004842,0.12139341789561901,8.932402641841646,1.2460557167865298e-17,79.78781695597962,1.246055716786529e-17,430
MPC,1.585093884029464,0.0036011602795400187,0.3786786326927243,0.3750451744043777,0.15526718509761342,10.208814457690766,2.0901992225206813e-19,104.21989263155601,2.090199222520651e-19,173
MPWR,1.3059386621945959,0.013328537500467096,0.2465240129895811,0.24351010904153947,0.14439689967925956,9.044090732525431,4.316834520937656e-17,81.79557717815241,4.316834520937601e-17,252
MRK,0.5222202458754783,0.004107791464082339,0.10706016929602068,0.10497386128035724,0.07290023953533876,7.163491494734107,3.459782529402917e-12,51.315610395127884,3.459782529402858e-12,430
MRNA,1.5966956182577972,0.007941897617111306,0.11040096678678388,0.09941826267304044,0.5036053520303556,3.1705294866714477,0.002148658241880046,10.052257225853113,0.0021486582418800437,83
MS,1.656220763887561,0.0005722281394468232,0.5020375658889963,0.5007640046764361,0.08341804920343732,19.854465307003547,3.597892619345112e-61,394.1997926270075,3.597892619344688e-61,393
MSCI,1.1645917408450208,0.0068488753080391505,0.41049627987799414,0.4077415895970502,0.09540156110550058,12.207260838815287,2.3377101890930094e-26,149.01721718687335,2.3377101890929187e-26,216
MSFT,1.1334798547279343,0.00943567607282672,0.3367159687678301,0.33516623972289505,0.07689707765957736,14.740220164748509,4.613889502044135e-40,217.27409050525864,4.613889502044141e-40,430
MSI,1.2166876791122532,0.0010430423976568771,0.3377804374611714,0.33623319549262276,0.08234571062435278,14.775361945233271,3.2667689815025582e-40,218.3113206126475,3.266768981502572e-40,430
MTB,0.7267957775125251,0.0045647132475723955,0.20350805737382283,0.20164709489105137,0.06950089544879713,10.457358467387976,6.0342497557687e-23,109.35634611545099,6.034249755768895e-23,430
MTCH,1.0828889777757311,0.009993461043767988,0.11666742850405386,0.1144140290869724,0.15049712699430182,7.195412958393098,3.1909277589074394e-12,51.77396764181133,3.1909277589079407e-12,394
MTD,1.1526668871734413,0.006936768781596117,0.4124019266916644,0.4106426510230765,0.07528534113862029,15.31064174964786,1.8479040161046863e-40,234.41575078606022,1.8479040161046895e-40,336
MU,1.700955028253317,0.01064015331369543,0.22321637620296775,0.2214014611940961,0.15337619194686575,11.090085147260536,2.7062500485309863e-25,122.98998857348877,2.7062500485309844e-25,430
NCLH,2.236248337259057,-0.015844397619861464,0.4172430276956587,0.4134091002462881,0.2143618180517263,10.432120596772705,1.4904016519160663e-19,108.8291401456093,1.4904016519160598e-19,154
NDAQ,0.9048370631167715,0.007112507751116158,0.1770517254475688,0.17409147985565354,0.1169995445762124,7.733680215544507,1.928971076890459e-13,59.809809676304546,1.9289710768904464e-13,280
NDSN,1.0111238549237613,0.0028456508840663825,0.30350616616401227,0.30187884412233945,0.07403845553038084,13.656738889006919,1.6861259739436601e-35,186.5065170825139,1.6861259739436532e-35,430
NEE,0.3421329365165723,0.006955442304923972,0.07131822587571444,0.06914840864645211,0.05967689190287588,5.73308906692717,1.864671779573447e-08,32.86831024931984,1.8646717795734363e-08,430
NEM,0.36325900616184353,0.0039658736913395914,0.020589997658979134,0.0183016565320141,0.1211012496832781,2.9996305332264717,0.002860888195386631,8.997783335864522,0.002860888195386577,430
NFLX,1.1972303076205377,0.025988843420352632,0.11195006423971074,0.10877845732628122,0.20151399211370094,5.9411770620127475,8.379781233789944e-09,35.29758488218642,8.379781233789864e-09,282
NI,0.3993278962221565,0.00589877835160832,0.09184233666907314,0.08972047296970176,0.06069695851029684,6.57904293761957,1.3850947613633912e-10,43.28380597504194,1.3850947613633614e-10,430
NKE,0.8763932584888503,0.006044733530136455,0.19255398767771267,0.190667431574156,0.08674763274516444,10.102791635402903,1.1530253145853055e-21,102.06639882836689,1.15302531458527e-21,430
NOC,0.5611102168196362,0.008507509067144668,0.10177621608583122,0.09967756238509717,0.0805740914435793,6.963903740851295,1.2529575725965122e-11,48.49595531184268,1.2529575725964986e-11,430
NOW,1.0709852801905355,0.012917086136512287,0.23643505151904462,0.23163275624557955,0.15263425140416018,7.016677255190082,6.189289583205612e-11,49.23375970350181,6.189289583205602e-11,161
NRG,0.9424031816323007,0.00737259368193371,0.16594330860173312,0.16274768909446014,0.13077791317009532,7.206134115372915,6.1845327934948135e-12,51.928368888741396,6.184532793494868e-12,263
NSC,0.9473672626426065,0.002937030238995062,0.2884768405525446,0.286814403264116,0.07191765738112181,13.172943851912615,1.6668908141851544e-33,173.52644972564238,1.666890814185129e-33,430
NTAP,1.8652422014152858,0.008297293398248503,0.2875995255155575,0.2856095800561037,0.15515355715992474,12.02191065134707,3.388396060200102e-28,144.52633570897214,3.3883960602001623e-28,360
NTRS,1.062655214455492,0.0016266592051532875,0.4118340100363246,0.4104597904336057,0.061384587672458454,17.311433614667344,2.819376461142506e-51,299.6857337950344,2.819376461142498e-51,430
NUE,1.2957412085234183,0.003730499131791321,0.3165788879472652,0.3149821096480766,0.09202368223917995,14.08051902504445,2.863422213284061e-37,198.26101601463878,2.863422213284062e-37,430
NVDA,2.025540147300775,0.026481758496523004,0.2765663660912403,0.27430563598527535,0.18313254580964247,11.060514330457828,2.681994870241621e-24,122.33497725426294,2.6819948702415805e-24,322
NVR,1.2253249303723521,0.06854041022079053,0.0018016136666533732,-0.0005306255537516069,1.3941419105947215,0.8789097587989774,0.3799433688994813,0.7724823641120767,0.379943368899478,430
