Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs
IP,-0.007246930023290461,1.3570087438559761,0.1475617576626072,0.7579005317578612,0.44393347781601716,0.04187032811880488,0.4352550172688231,0.4285795446597075,0.004960746024508533,429
IPG,-0.004289356298728843,1.3512711098400148,0.2522691280930011,0.3958085557478145,0.16536571294062707,0.14823863834527473,0.4052677804610251,0.3982378487879875,0.005316414336300358,429
IQV,0.0011559593825656556,1.06995556875297,0.5176991089299394,0.06501783622905843,0.19549390904930591,-0.607256688614134,0.46556423254481605,0.4468776672491803,0.0037429166926972435,149
IR,0.0007802093884820217,1.2676672076871052,0.34158365078115277,0.38378499644840125,0.5463017663891887,-0.4607479435610281,0.6048791673264938,0.5840833340278881,0.0033919814651784883,101
IRM,0.0056523220592328656,0.8832042644011004,0.15828019643476035,0.027983809344762214,0.3413867094828432,0.2866246066169886,0.22531102754722443,0.21424404222647042,0.00507940838780522,356
ISRG,0.01881007986259215,1.1076715788596956,0.8917429320593461,-0.3202981197082727,0.5491953863266841,-0.6900979689187642,0.15392500775715212,0.1397291186255607,0.02138592609577291,304
IT,0.006627103092837833,1.0789122000511417,0.37022156343491824,0.29360514859294146,0.1892666539058793,-0.4976591693154428,0.24963064809492141,0.2397051275670764,0.0085650018356567,384
ITW,-8.454559487603498e-07,1.09986449125576,0.10994551924941415,0.19135982392931428,0.5010469178406933,0.09283508820630046,0.4826244698223576,0.4765089198202578,0.0023123413205154396,429
IVZ,-0.0007678758002427281,1.6480026173174946,-0.06994421961308539,0.682302837957979,-0.6744035190185698,0.13462327553230383,0.5201595361248684,0.5134202037670716,0.00620908544424086,362
J,0.0017145709196145689,1.0844813497093426,0.2965859732836701,0.12063030040479344,0.5774040871133591,0.0006812912406067047,0.29581681070764554,0.28749313234721585,0.005307680067250498,429
JBHT,0.0029078750091903424,1.0820516973396954,0.3476187938854174,0.4406413692566511,0.4156591924445324,-0.5024251441940033,0.3022836823502597,0.2940364445529815,0.006165076355396969,429
JBL,0.014471698035584202,1.589697827022971,0.4364933842565726,0.024797094231733246,-0.27463623192787806,-0.9196650897224926,0.31482714207740803,0.3058823266998285,0.01627971090925674,389
JCI,0.00035715474523154806,1.2644249695842125,-0.18823671490190572,0.475920231846445,-0.12012418047810305,-0.05715590410722928,0.35565610072802156,0.34803974258059855,0.00565984040005944,429
JKHY,0.013616140469172065,0.7205165006650206,0.5993415248489825,-0.33966673939093983,0.1626894316616751,0.4656043543763569,0.15075946003869756,0.14072115578383582,0.007922138368100337,429
JNJ,0.0017434208454218652,0.7123004544538228,-0.28627074851972184,-0.19900851695686783,0.5178057746880079,0.3840514127646188,0.29746991992969496,0.28916578186739816,0.002068886059299966,429
JPM,0.00576478034713179,1.2128485755660754,-0.1453781321578808,1.2227892822626403,-0.7647813935632379,-0.5840030091632838,0.531020639862692,0.5254771486081139,0.0038875724987663704,429
K,0.00015747489589700763,0.46068488800533414,0.09138729755841007,-0.05069730026540905,0.5407523425831761,0.21237072367376925,0.11763365235479029,0.10720379008948056,0.0030364488390707957,429
KDP,0.02373115711540238,0.7229770652112532,0.3931533751910677,-0.3193642600181413,0.200384803361344,-0.9190781174422777,0.017360902608165363,-0.006842030825131129,0.12274137988095471,209
KEY,-0.0015410719484064913,0.980486723134173,0.07720537946674115,1.4066337571260965,-0.07030947993200677,-0.43254121314238725,0.4355348047330535,0.4288626393043662,0.0043584867717355105,429
KEYS,0.006264800250372558,0.9452348197104739,0.6997267040179055,-0.3310514421065909,-0.04959705502375183,-0.233600687769301,0.4627900963008339,0.44147224297943843,0.0035730408844184018,132
KHC,-0.010634730213497728,0.5792409497472818,0.10980480589692909,0.27572895134209596,0.37714873146927747,0.6216386915276343,0.21476845287626412,0.1812115491530275,0.004944693373212841,123
KIM,-0.0012143552373507687,1.0097150776835586,0.6045194985900368,0.6349679135445927,0.362729979073013,0.1417211605959847,0.38848175040082256,0.38085683457040886,0.00435638528393165,407
KKR,0.003057320903068698,1.6059821635526368,-0.06727263919673125,0.331618168960885,-0.24976777369630948,-0.5414907579118408,0.5612407174929731,0.5488463874786502,0.004100880718356154,183
KLAC,0.011079537599881931,1.6754163470016727,0.49981866488068144,-0.4501041723477478,-0.18438753053915033,-0.1283312626375056,0.42029376549481345,0.4134414459380146,0.009995969635413748,429
KMB,-0.001579427020526226,0.6710214286582821,-0.29644094646073393,-0.2276391492512476,0.6779623478034069,0.8041238430417735,0.3125538850325522,0.3044280444301001,0.002065593899980205,429
KMI,-0.002812764476260878,0.8143356677810928,0.2387750827817701,0.38371645105950297,0.09167132867464389,0.5709248754940134,0.3539601758936023,0.3349590045963553,0.0034204950671973813,176
KMX,-0.0014371169465211208,1.458518183578963,0.8353161902124875,0.3920379903133543,0.7099139002599351,-0.3182787647676804,0.2604162787471349,0.24947569115463686,0.01570445943739011,344
KO,-7.821626155988279e-05,0.744245787014028,-0.24532420538331773,-0.15123560442674544,0.5526267106220231,0.5003380919145872,0.2874093200250991,0.2789862623421806,0.002320644510728614,429
KR,0.0017175348700737931,0.7459933442613993,-0.06164000607658635,-0.24659703136420516,0.5319610952406975,0.7666623583348233,0.15944365741929678,0.14950800325167624,0.004724034300333874,429
KVUE,,,,,,,,,,29
L,-0.002273650316997141,0.8774971727187661,-0.06817512535715492,0.7406556167381891,0.28267183478851177,-0.029034210299997743,0.4199768010995849,0.4131207349187289,0.0025107545412916686,429
LDOS,0.0041317559753961865,0.7609680037825886,0.12325806872936132,-0.2545813543651746,0.004024628590647165,0.5150336195867802,0.1797078756290551,0.16123282778286274,0.0055834416092859634,228
LEN,0.004606284256824921,1.3852676076974082,0.6080219559121445,0.8275056916816165,0.5525840080906957,-0.39076629560714365,0.2426038881070982,0.23365121538968803,0.014658913667921726,429
LH,0.00041742280861616516,0.7070496873048818,0.6269427785413454,0.0020090872954076984,0.5662525081691533,0.06857838558214847,0.13203454756262323,0.12172616926764246,0.008435932767243368,427
LHX,0.0048179730248919354,0.8345740120169373,0.523672742394547,0.09424255233222015,0.2545771591762922,-0.1863099388492358,0.24724863955193588,0.23835086933387373,0.005391555995883549,429
LII,0.005507288903237459,0.8257306929780255,0.9226602746404524,-0.1629191098706812,0.5490368032073721,0.12160240186601405,0.263170722416299,0.25124791857190265,0.00612611732693048,315
LIN,0.0011604581953024728,1.03693996090758,-0.11350022093318955,0.05702652473704214,0.5618956252259399,0.32985033677916004,0.3834598320701842,0.37563571826396824,0.002830626391362663,400
